TIME,DQN
45.906666666666666,0.009
45.96055555555556,0.009
46.013888888888886,0.183
46.06722222222222,0.0
46.12111111111111,0.0
46.175,0.008
46.22944444444445,0.459
46.283611111111114,0.008
46.33777777777778,0.69
46.3925,0.404
46.44916666666666,0.0
46.506388888888885,0.078
46.5625,0.007
46.618611111111115,0.0
46.675,0.426
46.73027777777778,0.0
46.784166666666664,0.0
46.838055555555556,0.062
46.89388888888889,0.0
46.95027777777778,0.009
47.005,0.472
47.05972222222222,0.07
47.11416666666667,0.333
47.16861111111111,0.407
47.22388888888889,0.0
47.27861111111111,0.0
47.333333333333336,0.008
47.388333333333335,0.152
47.44305555555555,0.008
47.49805555555555,0.016
47.55305555555555,0.007
47.60888888888889,0.25
47.66361111111111,0.034
47.720555555555556,0.0
47.78111111111111,0.0
47.84111111111111,0.056
47.8975,0.0
47.95166666666667,0.048
48.006388888888885,0.163
48.06166666666667,0.128
48.117777777777775,0.287
48.17333333333333,0.091
48.22833333333333,0.54
48.2825,0.24
48.336666666666666,0.078
48.39083333333333,0.0
48.44583333333333,0.0
48.50111111111111,0.0
48.55722222222222,0.0
48.61555555555555,0.0
48.67444444444445,0.062
48.73027777777778,0.0
48.785,0.0
48.84027777777778,0.379
48.89888888888889,0.0
48.960277777777776,0.021
49.02111111111111,0.0
49.077222222222225,0.0
49.132222222222225,0.0
49.187777777777775,0.423
49.243611111111115,0.007
49.299166666666665,0.0
49.354166666666664,0.0
49.408611111111114,0.0
49.46388888888889,0.629
49.51888888888889,0.0
49.57555555555555,0.0
49.632222222222225,0.235
49.68861111111111,0.602
49.74444444444445,0.052
49.79972222222222,0.055
49.855555555555554,0.44
49.91305555555556,0.0
49.97,0.0
50.026944444444446,0.589
50.08222222222222,0.01
50.138333333333335,0.0
50.19416666666667,0.048
50.25194444444445,0.0
50.30972222222222,0.078
50.36666666666667,0.0
50.42194444444444,0.133
50.477222222222224,0.0
50.53277777777778,0.279
50.58861111111111,0.0
50.644444444444446,0.07
50.70027777777778,0.0
